category,display_method,method_key,status,method,dataset,higher_better,n,srcc,plcc_raw,krcc,rmse_raw,nrmse_raw,plcc_linear,rmse_linear,nrmse_linear,linear_slope,linear_intercept,elapsed_sec,total_elapsed_sec
VLM / CLIP-IQA,CLIP-IQA+ ViT-L/14 512,clipiqa+_vitL14_512,partial,clipiqa+_vitL14_512,uwiqa,True,178,0.3402005785027143,0.3615865738744259,0.2531301839443271,0.1854700958137747,0.1854700958137747,0.3615865738744259,0.178505481109007,0.178505481109007,0.6279899549952349,0.1138465935881542,142.1646689006593,5901.529165899963
VLM / CLIP-IQA,CLIP-IQA+ ViT-L/14 512,clipiqa+_vitL14_512,partial,clipiqa+_vitL14_512,uiqd,True,497,0.7506343377803313,0.7916467631473452,0.5482351650284896,0.1673235937372515,0.174598532565028,0.7916467631473452,0.1492199093985937,0.155707731519279,1.5589536738143326,-0.1654978737344628,5537.740488300216,5901.529165899963
VLM / CLIP-IQA,CLIP-IQA+ ViT-L/14 512,clipiqa+_vitL14_512,partial,clipiqa+_vitL14_512,mean,True,675,0.5454174581415228,0.5766166685108856,0.4006826744864084,0.1763968447755131,0.1800343141894013,0.5766166685108856,0.1638626952538003,0.167106606314143,1.0934718144047837,-0.0258256400731543,2839.952578600438,5901.529165899963
VLM / CLIP-IQA,CLIP-IQA classic,clipiqa_classic,completed_existing,CLIP-IQA-classic,uwiqa,True,178,0.5249280554948356,0.5135523710662625,0.3933781526089421,0.3936716356318864,0.3936716356318864,0.5135523710662625,0.1642837817643844,0.1642837817643844,0.4259653732278541,0.0624224940710714,0.0,
VLM / CLIP-IQA,CLIP-IQA classic,clipiqa_classic,completed_existing,CLIP-IQA-classic,uiqd,True,1263,0.6777553610472795,0.7728169122553573,0.4938688171199537,0.257239420422891,0.257239420422891,0.7728169122553573,0.1552519136717447,0.1552519136717447,0.7150215616620288,-0.0292238682082312,0.0,
VLM / CLIP-IQA,CLIP-IQA classic,clipiqa_classic,completed_existing,CLIP-IQA-classic,mean,True,1441,0.6013417082710575,0.6431846416608099,0.4436234848644479,0.3254555280273887,0.3254555280273887,0.6431846416608099,0.1597678477180646,0.1597678477180646,0.5704934674449414,0.0165993129314201,0.0,
Deep NR-IQA,DBCNN,dbcnn,completed,dbcnn,uwiqa,True,178,0.5239904504863379,0.5251085444568824,0.3979776846285879,0.1784351447854128,0.1784351447854128,0.5251085444568823,0.1629391606299045,0.1629391606299045,0.8702305528719532,-0.0158223884245388,14.770884698722504,448.2127235000953
Deep NR-IQA,DBCNN,dbcnn,completed,dbcnn,uiqd,True,1263,0.7169513593866226,0.7867891106307636,0.5165179715764806,0.1658701229111362,0.1658701229111362,0.7867891106307638,0.1509935373286469,0.1509935373286469,1.554494656194661,-0.2090172628689479,292.6402227021754,448.2127235000953
Deep NR-IQA,DBCNN,dbcnn,completed,dbcnn,mean,True,1441,0.6204709049364803,0.655948827543823,0.4572478281025343,0.1721526338482745,0.1721526338482745,0.655948827543823,0.1569663489792757,0.1569663489792757,1.2123626045333071,-0.1124198256467433,153.70555370044897,448.2127235000953
Deep NR-IQA,HyperIQA,hyperiqa,completed,hyperiqa,uwiqa,True,178,0.4769070360757718,0.4945208072341914,0.3605658057968831,0.170638038472502,0.170638038472502,0.4945208072341915,0.1664104305921402,0.1664104305921402,1.1293987290885987,-0.0868143280272177,18.27669999958016,
