category,display_method,method_key,status,method,dataset,higher_better,n,srcc,plcc_raw,krcc,rmse_raw,nrmse_raw,plcc_linear,rmse_linear,nrmse_linear,linear_slope,linear_intercept,elapsed_sec,total_elapsed_sec
General deep NR-IQA,MANIQA,maniqa,completed,maniqa,sota,True,1440,0.0903843931442644,0.0800898798042003,0.060670114345943,0.3109507912545083,0.323225207426562,0.0800898798042003,0.2149626210191914,0.2234480172491865,0.1655890361869934,0.4425757876556655,2280.204663198907,5599.815027499921
General deep NR-IQA,MANIQA,maniqa,completed,maniqa,mean,True,3541,0.2429467309718639,0.2687984627870847,0.1731479685908284,0.2713933254860274,0.2741343985589954,0.2687984627870847,0.2115491253423264,0.2134542779817193,0.6224253123789066,0.2627292881848098,1118.4880500600907,5599.815027499921
General deep NR-IQA,MUSIQ,musiq,completed,musiq,uid2021,True,180,0.4217702192454499,0.3758951734617936,0.2893854748603351,52.48885830108541,52.67078412099432,0.3758951734617937,0.2168129221976045,0.2175643934605417,0.0078278471861934,0.1104308108933481,7.92694269947242,684.2941777000669
General deep NR-IQA,MUSIQ,musiq,completed,musiq,uwiqa,True,178,0.6008952471322125,0.5962829335968153,0.4681426045506909,51.10892981206961,51.10892981206961,0.5962829335968151,0.1536991300818495,0.1536991300818495,0.01180822884265,-0.2417235847392009,15.011568199726751,684.2941777000669
General deep NR-IQA,MUSIQ,musiq,completed,musiq,uiqd,True,1263,0.7959905020988671,0.8375392728414364,0.6037101438202709,43.67163947160751,43.67163947160751,0.8375392728414364,0.1336624850806183,0.1336624850806183,0.0129770316857011,-0.1582067938106171,537.3405269996729,684.2941777000669
General deep NR-IQA,MUSIQ,musiq,completed,musiq,saud2,True,480,0.0891216863419452,0.1012376120772522,0.0595799485413402,53.19986330131784,53.25506841180637,0.1012376120772522,0.2393182971304653,0.2395666359835219,0.0026772887145421,0.3488387871021671,23.436843501753174,684.2941777000669
General deep NR-IQA,MUSIQ,musiq,completed,musiq,sota,True,1440,0.2209169544107476,0.2134355416218328,0.1476340219244449,51.77800579022451,53.8218815721904,0.2134355416218328,0.2106860674558303,0.2190026517718663,0.0037181605368304,0.3005029345646677,99.4525251055602,684.2941777000669
General deep NR-IQA,MUSIQ,musiq,completed,musiq,mean,True,3541,0.4257389218458445,0.424878106719826,0.3136904387394164,50.449459335260975,50.90566067773364,0.424878106719826,0.1908357803892736,0.1926990592756796,0.0078017113931834,0.0719684308020729,136.6336813012371,684.2941777000669
Traditional / NR-IQA,NIQE,niqe,completed,niqe,uid2021,False,180,0.1802236694548185,0.1188308814193108,0.1188081936685288,4.986482521321608,5.003765616258617,0.1188308814193107,0.2323141031596858,0.2331193013495816,-0.0169112886375826,0.5869207403061808,9.634793499018995,269.5858307000017
Traditional / NR-IQA,NIQE,niqe,completed,niqe,uwiqa,False,178,0.4247193450810082,0.3248345213208586,0.3192009737301303,5.377081247598595,5.377081247598595,0.3248345213208586,0.1810772340958332,0.1810772340958332,-0.0268932374784945,0.4770242263095703,12.045915499678811,269.5858307000017
Traditional / NR-IQA,NIQE,niqe,completed,niqe,uiqd,False,1263,0.7781526252987669,0.7259642167289192,0.58163227018623,6.795863486705025,6.795863486705025,0.7259642167289192,0.1682428249440602,0.1682428249440602,-0.0686790652057627,0.7865504777724845,129.1343451003777,269.5858307000017
Traditional / NR-IQA,NIQE,niqe,completed,niqe,saud2,False,480,-0.0201508746679218,0.0282682839275179,-0.0155736138856599,4.309775524783806,4.3142477474412,0.028268283927518,0.240458066345706,0.2407075879289719,-0.0085096697011383,0.5223134357312832,26.20967800100334,269.5858307000017
Traditional / NR-IQA,NIQE,niqe,completed,niqe,sota,False,1440,0.0682066124660453,0.0771255105074628,0.0455687014938538,5.267346270349419,5.475268559222662,0.0771255105074628,0.2150130295577299,0.2235004156054005,-0.0102948095765357,0.5358809626766748,91.75732209766284,269.5858307000017
Traditional / NR-IQA,NIQE,niqe,completed,niqe,mean,False,3541,0.2862302755265434,0.2550046827808138,0.2099273050386166,5.347309810151691,5.39324533144522,0.2550046827808139,0.207421051620603,0.2093294727847695,-0.0262576141199028,0.5817379685592388,53.75641083954834,269.5858307000017
General deep NR-IQA,TOPIQ-NR,topiq_nr,completed,topiq_nr,uid2021,True,180,0.3173410701976399,0.3061400971053479,0.2074487895716946,0.234849405596351,0.2356633911173002,0.306140097105348,0.2227380920372271,0.2235100998752787,0.6546037581245082,0.2201979239981191,7.712299599661492,567.2150090000359
General deep NR-IQA,TOPIQ-NR,topiq_nr,completed,topiq_nr,uwiqa,True,178,0.5316544836858942,0.5242073364833194,0.4050365296911737,0.1730933288983109,0.1730933288983109,0.5242073364833194,0.1630454989873452,0.1630454989873452,0.9556588684908276,-0.0396044069319762,17.314624999416992,567.2150090000359
General deep NR-IQA,TOPIQ-NR,topiq_nr,completed,topiq_nr,uiqd,True,1263,0.7860773531956766,0.8334768690392317,0.5927912321563921,0.1552741736109477,0.1552741736109477,0.8334768690392315,0.135173644010376,0.135173644010376,1.5211574412263955,-0.1489128673558298,388.4272495987825,567.2150090000359
General deep NR-IQA,TOPIQ-NR,topiq_nr,completed,topiq_nr,saud2,True,480,0.0974455907997957,0.1108864033619724,0.0644347399090487,0.2595991848255172,0.2598685690079512,0.1108864033619725,0.2390707217631604,0.2393188037090624,0.3337217332066715,0.3555160866760187,26.39209639886394,567.2150090000359
General deep NR-IQA,TOPIQ-NR,topiq_nr,completed,topiq_nr,sota,True,1440,0.1685649372547453,0.1654227980539507,0.1135318156806754,0.2477944840579723,0.2575758794041492,0.1654227980539507,0.2126842427278776,0.2210797026588457,0.2698890339419936,0.3795856521955726,119.80486920056865,567.2150090000359
General deep NR-IQA,TOPIQ-NR,topiq_nr,completed,topiq_nr,mean,True,3541,0.3802166870267504,0.3880267008087645,0.2766486214017969,0.2141221153978198,0.2162950684077318,0.3880267008087644,0.1945424399051973,0.1964255498481816,0.7470061669980794,0.1533564777163809,111.93022795945872,567.2150090000359
Traditional / underwater,UCIQE,uciqe,completed,UCIQE,uid2021,True,180,0.481846147514841,0.5122310803744528,0.3427684667908131,57.95567659617818,58.156550349664215,0.5122310803744526,0.2009462289650776,0.2016427064394471,0.0090153414793866,0.0025068135120144,7.900348100811243,371.9920885999454
Traditional / underwater,UCIQE,uciqe,completed,UCIQE,uwiqa,True,178,0.5442856636509682,0.5311868127577395,0.409413013629977,49.90311063536694,49.90311063536694,0.5311868127577395,0.1622153394149133,0.1622153394149133,0.0071131533053409,0.0125084448607224,13.724590999772772,371.9920885999454
Traditional / underwater,UCIQE,uciqe,completed,UCIQE,uiqd,True,1263,0.7003604060410412,0.7017209424380112,0.5118569550855236,45.0004547757688,45.0004547757688,0.7017209424380112,0.1742900413642928,0.1742900413642928,0.0115184501568352,-0.1180123946279681,204.50817029981408,371.9920885999454
Traditional / underwater,UCIQE,uciqe,completed,UCIQE,saud2,True,480,-0.047987953464559,0.0039472898771619,-0.023125511568762,60.53161838216361,60.59443160147416,0.0039472898771615,0.2405523244317567,0.2408019438259517,6.743959321866313e-05,0.4864924848830441,21.07754590071272,371.9920885999454
Traditional / underwater,UCIQE,uciqe,completed,UCIQE,sota,True,1440,-0.0243662162418699,-0.0584530394899613,-0.0090573730157232,60.82479123914591,63.22577821922562,0.0584530394899612,0.2152866461086802,0.2237848328473681,-0.0011792025167028,0.5604804271175011,124.21700419904664,371.9920885999454
Traditional / underwater,UCIQE,uciqe,completed,UCIQE,mean,True,3541,0.3308276095000843,0.3381266171914808,0.2463711101843657,54.84313032572469,55.37606511629995,0.3615078329874652,0.1986581160569442,0.2005469727783946,0.0053070364036157,0.1887951551490628,74.28553190003149,371.9920885999454
Traditional / underwater,UIQM,uiqm,completed,UIQM,uid2021,True,180,0.2652633311727728,0.2011054880668653,0.1798882681564245,105.10477943934544,105.46907147759411,0.2011054880668653,0.2291917671722914,0.2299861433791431,0.00076068477317,0.4509100843826643,10.736163999768904,839.0563501999713
Traditional / underwater,UIQM,uiqm,completed,UIQM,uwiqa,True,178,0.2794107122155206,0.206763151644002,0.2032947378024713,41.23670308793173,41.23670308793173,0.2067631516440021,0.1873226876474789,0.1873226876474789,0.0019947045201066,0.2824834473445189,26.89823579939548,839.0563501999713
Traditional / underwater,UIQM,uiqm,completed,UIQM,uiqd,True,1263,0.2334361828619299,0.4184493203118003,0.1450436076053295,36.828162928818,36.828162928818,0.4184493203118002,0.2221865244931316,0.2221865244931316,0.006994361120166,0.136779075967406,558.9927884991048,839.0563501999713
Traditional / underwater,UIQM,uiqm,completed,UIQM,saud2,True,480,-0.0531176596173357,-0.2140322429561192,-0.0383859131081181,92.75884791199285,92.8551030925516,0.2140322429561193,0.2349797389024633,0.235223575665261,-0.0009633473500461,0.5639684835042164,35.43089849839453,839.0563501999713
Traditional / underwater,UIQM,uiqm,completed,UIQM,sota,True,1440,0.0897443324317826,0.0776997439879527,0.0588748549886066,64.37015169624345,66.91108760378783,0.0776997439879527,0.2150034141909836,0.2234904206833792,0.000635409454865,0.4516712878425786,206.4087621988729,839.0563501999713
Traditional / underwater,UIQM,uiqm,completed,UIQM,mean,True,3541,0.162947379812934,0.1379970922109002,0.1097431110889427,68.05972901286628,68.66002563813666,0.2236099893933479,0.2177368264812697,0.2196418703736788,0.0018843625036523,0.3771624758082769,167.6933697991073,839.0563501999713
