category,display_name,method,dataset,higher_better,n,srcc,plcc_raw,krcc,rmse_raw,nrmse_raw,plcc_linear,rmse_linear,nrmse_linear,linear_slope,linear_intercept,elapsed_sec,timing_scope,total_elapsed_wall_sec,total_elapsed_sec
Traditional NR-IQA,NIQE,niqe,uid2021,False,900,0.1656484582346588,0.1376616365231059,0.1110828214498568,4.931003395264188,4.931003395264188,0.1376616365231058,0.2364209152609577,0.2364209152609577,-0.0235774483560659,0.5954071950043167,42.92544579808596,,,670.8284883999731
Traditional NR-IQA,NIQE,niqe,saud2,False,2400,0.0100470031758459,0.0658798078458518,0.0058744886949284,4.374006151819807,4.374006151819807,0.0658798078458518,0.2337562653768837,0.2337562653768837,-0.0178786245605115,0.55388699494597,119.88506529387077,,,670.8284883999731
Traditional NR-IQA,NIQE,niqe,sota,False,7200,0.0972187878728541,0.0838964400946967,0.0647623578184694,5.349525605962711,5.349525605962711,0.0838964400946966,0.2091530774923566,0.2091530774923566,-0.0105866665158784,0.5505358260689285,424.98244109190966,,,670.8284883999731
Traditional NR-IQA,NIQE,niqe,uied,False,1000,0.2542844166295006,0.2206286989387255,0.1711074159163569,4.978381391102579,4.978381391102579,0.2206286989387254,0.2131737768218206,0.2131737768218206,-0.0297193150533938,0.6284987482316763,67.70336719811891,,,670.8284883999731
Traditional NR-IQA,NIQE,niqe,mean,False,11500,0.1317996664782148,0.127016645850595,0.0882067709699029,4.908229136037321,4.908229136037321,0.1270166458505949,0.2231260087380047,0.2231260087380047,-0.0204405136214624,0.5820821910627229,163.87407984549634,,,670.8284883999731
Deep NR-IQA,PaQ-2-PiQ,paq2piq,uid2021,True,900,0.3430249808137618,0.3154151245095194,0.2391724035827662,71.84674953516765,71.84674953516765,0.3154151245095194,0.226509045255267,0.226509045255267,0.0165504786549126,-0.6995024205871806,19.072589802322867,,,401.3582001000177
Deep NR-IQA,PaQ-2-PiQ,paq2piq,saud2,True,2400,0.0886507593232701,0.1060905817815411,0.059984568045201,72.63528212686388,72.63528212686388,0.1060905817815411,0.2329431083591166,0.2329431083591166,0.0059822087684566,0.0492497036299834,61.123088296735546,,,401.3582001000177
Deep NR-IQA,PaQ-2-PiQ,paq2piq,sota,True,7200,0.0676345198758906,0.0531078437413891,0.0463581453821451,70.56590306215782,70.56590306215782,0.0531078437413892,0.2095968551610131,0.2095968551610131,0.001673531754553,0.3836005016556762,260.9196233057879,,,401.3582001000177
Deep NR-IQA,PaQ-2-PiQ,paq2piq,uied,True,1000,0.1673832232422205,0.0958786072506189,0.1152799607585193,71.42915643919791,71.42915643919791,0.0958786072506189,0.21755265300067,0.21755265300067,0.0034870086554219,0.2532853370705341,45.38611700152974,,,401.3582001000177
Deep NR-IQA,PaQ-2-PiQ,paq2piq,mean,True,11500,0.1666733708137858,0.1426230393207671,0.1151987694421579,71.61927279084682,71.61927279084682,0.1426230393207671,0.2216504154440167,0.2216504154440167,0.0069233069583361,-0.0033417195577467,96.625354601594,,,401.3582001000177
Deep NR-IQA,TOPIQ-NR,topiq_nr,uid2021,True,900,0.3352722219522176,0.3327923643233273,0.2253642981793459,0.2342511276379213,0.2342511276379213,0.3327923643233275,0.2250879448343706,0.2250879448343706,0.7232404838975254,0.1785821688961788,33.37159240525212,,,832.1691315998323
Deep NR-IQA,TOPIQ-NR,topiq_nr,saud2,True,2400,0.1267019685024203,0.1372753282655667,0.0840335393120154,0.2530581584309789,0.2530581584309789,0.1372753282655666,0.2320473860072562,0.2320473860072562,0.3866914994161288,0.3317410892552179,107.78859199909482,,,832.1691315998323
